#line-id;line-code;direction;edge-order;edge-id;frequency;departure_time;arrival_time
1;1H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['1', '2', '3', '8', '13', '18', '23', '24', '25'];3;['0', '6', '12', '18', '24', '30', '36', '42', '48'];['0', '6', '12', '18', '24', '30', '36', '42', '48']
1;1R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['25', '24', '23', '18', '13', '8', '3', '2', '1'];3;['9', '15', '21', '27', '35', '41', '47', '53', '59'];['9', '15', '21', '27', '35', '41', '47', '53', '59']
2;2H;>;['1', '2', '3', '4', '5', '6', '7'];['6', '7', '8', '13', '18', '19', '20'];3;['6', '12', '18', '24', '30', '36', '42'];['6', '12', '18', '24', '30', '36', '42']
2;2R;<;['1', '2', '3', '4', '5', '6', '7'];['20', '19', '18', '13', '8', '7', '6'];3;['8', '14', '20', '26', '32', '38', '44'];['8', '14', '20', '26', '32', '38', '44']
3;3H;>;['1', '2', '3', '4', '5'];['11', '12', '13', '14', '15'];3;['9', '15', '21', '27', '33'];['9', '15', '21', '27', '33']
3;3R;<;['1', '2', '3', '4', '5'];['15', '14', '13', '12', '11'];3;['9', '15', '21', '27', '33'];['9', '15', '21', '27', '33']
4;4H;>;['1', '2', '3', '4', '5', '6', '7'];['16', '17', '18', '13', '8', '9', '10'];3;['0', '6', '12', '18', '24', '30', '36'];['0', '6', '12', '18', '24', '30', '36']
4;4R;<;['1', '2', '3', '4', '5', '6', '7'];['10', '9', '8', '13', '18', '17', '16'];3;['0', '6', '12', '18', '24', '30', '36'];['0', '6', '12', '18', '24', '30', '36']
5;5H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['21', '22', '23', '18', '13', '8', '3', '4', '5'];2;['9', '15', '21', '27', '33', '39', '45', '51', '57'];['9', '15', '21', '27', '33', '39', '45', '51', '57']
5;5R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['5', '4', '3', '8', '13', '18', '23', '22', '21'];2;['27', '33', '39', '45', '51', '57', '3', '9', '15'];['27', '33', '39', '45', '51', '57', '3', '9', '15']
6;6H;>;['1', '2', '3', '4', '5'];['1', '2', '3', '8', '13'];2;['21', '27', '33', '39', '47'];['21', '27', '33', '39', '47']
6;6R;<;['1', '2', '3', '4', '5'];['13', '8', '3', '2', '1'];2;['16', '22', '28', '34', '43'];['16', '22', '28', '37', '43']
