#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
4,4H,>,1;2;3;4;5;6;7;8,6;11;16;17;18;19;20;25,1,0;6;12;18;24;30;36;42,0;6;12;18;24;30;36;42
4,4R,<,1;2;3;4;5;6;7;8,25;20;19;18;17;16;11;6,1,0;6;12;18;24;30;36;42,0;6;12;18;24;30;36;42
8,8H,>,1;2;3;4;5;6;7;8,1;2;3;4;9;14;19;24,1,39;45;51;57;3;9;15;21,39;45;51;57;3;9;15;21
8,8R,<,1;2;3;4;5;6;7;8,24;19;14;9;4;3;2;1,1,39;45;51;57;3;9;15;21,39;45;51;57;3;9;15;21
10,10H,>,1;2;3;4;5;6;7,3;8;7;12;17;16;21,1,21;27;33;39;45;51;57,21;27;33;39;45;51;57
10,10R,<,1;2;3;4;5;6;7,21;16;17;12;7;8;3,1,21;27;33;39;45;51;57,21;27;33;39;45;51;57
17,17H,>,1;2;3;4;5;6;7,11;12;13;14;19;20;25,1,3;9;15;21;27;33;39,3;9;15;21;27;33;39
17,17R,<,1;2;3;4;5;6;7,25;20;19;14;13;12;11,1,3;9;15;21;27;33;39,3;9;15;21;27;33;39
30,30H,>,1;2;3;4;5;6,22;23;18;13;8;9,1,48;54;0;6;12;18,48;54;0;6;12;18
30,30R,<,1;2;3;4;5;6,9;8;13;18;23;22,1,18;24;30;36;42;48,18;24;30;36;42;48
55,55H,>,1;2;3;4;5;6;7;8;9;10;11,21;22;17;18;19;20;15;10;5;4;3,1,0;6;12;18;24;30;36;42;48;54;0,0;6;12;18;24;30;36;42;48;54;0
55,55R,<,1;2;3;4;5;6;7;8;9;10;11,3;4;5;10;15;20;19;18;17;22;21,1,0;6;12;18;24;30;36;42;48;54;0,0;6;12;18;24;30;36;42;48;54;0
59,59H,>,1;2;3;4;5;6;7,18;13;12;11;6;1;2,1,30;36;42;48;54;0;6,30;36;42;48;54;0;6
59,59R,<,1;2;3;4;5;6;7,2;1;6;11;12;13;18,1,30;36;42;48;54;0;6,30;36;42;48;54;0;6
74,74H,>,1;2;3;4;5;6,15;14;13;8;7;2,1,18;24;30;36;42;48,18;24;30;36;42;48
74,74R,<,1;2;3;4;5;6,2;7;8;13;14;15,1,48;54;0;6;12;18,48;54;0;6;12;18
77,77H,>,1;2;3;4;5;6,14;13;8;3;2;1,1,42;48;54;0;6;12,42;48;54;0;6;12
77,77R,<,1;2;3;4;5;6,1;2;3;8;13;14,1,12;18;24;30;36;42,12;18;24;30;36;42
80,80H,>,1;2;3;4;5;6,11;12;13;8;9;10,1,54;0;6;12;18;24,54;0;6;12;18;24
80,80R,<,1;2;3;4;5;6,10;9;8;13;12;11,1,24;30;36;42;48;54,24;30;36;42;48;54
101,101H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,2,39;45;51;57;3;9;15;21;27,39;45;51;57;3;9;15;21;27
101,101R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,2,39;45;51;57;3;9;15;21;27,39;45;51;57;3;9;15;21;27
102,102H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,1,54;0;6;12;18;24;30,54;0;6;12;18;24;30
102,102R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,1,54;0;6;12;18;24;30,54;0;6;12;18;24;30
104,104H,>,1;2;3;4;5;6;7,16;17;18;13;8;9;10,1,45;51;57;3;9;15;21,45;51;57;3;9;15;21
104,104R,<,1;2;3;4;5;6;7,10;9;8;13;18;17;16,1,45;51;57;3;9;15;21,45;51;57;3;9;15;21
105,105H,>,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,1,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
105,105R,<,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,1,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
