#line-id;line-code;direction;stop-order;stop-id;frequency;departure_time;arrival_time
12;12H;>;['1', '2', '3', '4', '5', '6'];['15', '14', '13', '8', '9', '10'];1;['18', '24', '30', '36', '42', '48'];['18', '24', '30', '36', '42', '48']
12;12R;<;['1', '2', '3', '4', '5', '6'];['10', '9', '8', '13', '14', '15'];1;['57', '3', '9', '15', '21', '27'];['57', '3', '9', '15', '21', '27']
15;15H;>;['1', '2', '3', '4', '5', '6'];['10', '9', '8', '3', '2', '1'];1;['22', '28', '34', '40', '46', '52'];['22', '28', '34', '40', '46', '52']
15;15R;<;['1', '2', '3', '4', '5', '6'];['1', '2', '3', '8', '9', '10'];1;['54', '0', '6', '12', '18', '24'];['54', '0', '6', '12', '18', '24']
29;29H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['1', '2', '3', '8', '13', '18', '23', '24', '25'];2;['22', '28', '34', '40', '46', '52', '58', '4', '10'];['22', '28', '34', '40', '46', '52', '58', '4', '10']
29;29R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['25', '24', '23', '18', '13', '8', '3', '2', '1'];2;['25', '31', '37', '43', '49', '55', '2', '8', '14'];['25', '31', '37', '43', '49', '56', '2', '8', '14']
2;2H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'];['25', '24', '23', '22', '21', '16', '17', '18', '13', '14', '15'];2;['0', '6', '12', '18', '24', '30', '36', '42', '48', '55', '1'];['0', '6', '12', '18', '24', '30', '36', '42', '49', '55', '1']
2;2R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11'];['15', '14', '13', '18', '17', '16', '21', '22', '23', '24', '25'];2;['7', '13', '19', '25', '31', '37', '43', '49', '55', '1', '7'];['7', '13', '19', '25', '31', '37', '43', '49', '55', '1', '7']
30;30H;>;['1', '2', '3', '4', '5', '6', '7'];['6', '7', '8', '13', '18', '19', '20'];3;['1', '7', '13', '19', '25', '31', '37'];['1', '7', '13', '19', '25', '31', '37']
30;30R;<;['1', '2', '3', '4', '5', '6', '7'];['20', '19', '18', '13', '8', '7', '6'];3;['8', '14', '20', '26', '32', '38', '44'];['8', '14', '20', '26', '32', '38', '44']
32;32H;>;['1', '2', '3', '4', '5', '6', '7'];['16', '17', '18', '13', '8', '9', '10'];1;['34', '40', '46', '52', '58', '4', '10'];['34', '40', '46', '52', '58', '4', '10']
32;32R;<;['1', '2', '3', '4', '5', '6', '7'];['10', '9', '8', '13', '18', '17', '16'];1;['25', '31', '37', '43', '49', '55', '1'];['25', '31', '37', '43', '49', '55', '1']
33;33H;>;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['21', '22', '23', '18', '13', '8', '3', '4', '5'];2;['7', '13', '19', '25', '31', '37', '43', '49', '55'];['7', '13', '19', '25', '31', '37', '43', '49', '55']
33;33R;<;['1', '2', '3', '4', '5', '6', '7', '8', '9'];['5', '4', '3', '8', '13', '18', '23', '22', '21'];2;['11', '17', '23', '29', '35', '42', '49', '55', '1'];['11', '17', '23', '29', '36', '43', '49', '55', '1']
6;6H;>;['1', '2', '3', '4', '5', '6', '7'];['11', '12', '13', '8', '3', '2', '1'];2;['21', '27', '33', '39', '45', '51', '57'];['21', '27', '33', '39', '45', '51', '57']
6;6R;<;['1', '2', '3', '4', '5', '6', '7'];['1', '2', '3', '8', '13', '12', '11'];2;['28', '34', '40', '46', '52', '58', '4'];['28', '34', '40', '46', '52', '58', '4']
