#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
14,14H,>,1;2;3;4;5;6;7,5;10;9;14;19;24;23,1,0;6;12;18;24;30;36,0;6;12;18;24;30;36
14,14R,<,1;2;3;4;5;6;7,23;24;19;14;9;10;5,1,18;24;30;36;42;48;54,18;24;30;36;42;48;54
18,18H,>,1;2;3;4;5;6;7,7;12;13;14;19;24;25,1,54;0;6;12;18;24;30,54;0;6;12;18;24;30
18,18R,<,1;2;3;4;5;6;7,25;24;19;14;13;12;7,1,18;24;30;36;42;48;54,18;24;30;36;42;48;54
21,21H,>,1;2;3;4;5;6;7,1;6;11;16;21;22;23,1,39;45;51;57;3;9;15,39;45;51;57;3;9;15
21,21R,<,1;2;3;4;5;6;7,23;22;21;16;11;6;1,1,39;45;51;57;3;9;15,39;45;51;57;3;9;15
30,30H,>,1;2;3;4;5;6;7,11;12;7;8;13;14;15,1,51;57;3;9;15;21;27,51;57;3;9;15;21;27
30,30R,<,1;2;3;4;5;6;7,15;14;13;8;7;12;11,1,3;9;15;21;27;33;39,3;9;15;21;27;33;39
44,44H,>,1;2;3;4;5;6,4;9;14;13;18;23,1,57;3;9;15;24;30,57;3;9;18;24;30
44,44R,<,1;2;3;4;5;6,23;18;13;14;9;4,1,18;24;30;36;42;48,18;24;30;36;42;48
52,52H,>,1;2;3;4;5;6,2;7;12;17;22;23,1,0;6;12;18;24;30,0;6;12;18;24;30
52,52R,<,1;2;3;4;5;6,23;22;17;12;7;2,1,39;45;51;57;3;9,39;45;51;57;3;9
63,63H,>,1;2;3;4;5;6,16;17;18;19;24;25,1,0;6;12;18;24;30,0;6;12;18;24;30
63,63R,<,1;2;3;4;5;6,25;24;19;18;17;16,1,24;30;36;42;48;54,24;30;36;42;48;54
79,79H,>,1;2;3;4;5,13;18;19;24;25,1,18;24;30;36;42,18;24;30;36;42
79,79R,<,1;2;3;4;5,25;24;19;18;13,1,13;21;30;36;42,13;24;30;36;42
90,90H,>,1;2;3;4;5,1;6;7;8;9,1,15;21;27;33;39,15;21;27;33;39
90,90R,<,1;2;3;4;5,9;8;7;6;1,1,54;0;6;12;18,54;0;6;12;18
136,136H,>,1;2;3;4;5;6,13;8;3;4;5;10,1,45;51;57;3;9;15,45;51;57;3;9;15
136,136R,<,1;2;3;4;5;6,10;5;4;3;8;13,1,45;51;57;3;9;15,45;51;57;3;9;15
140,140H,>,1;2;3;4;5;6,11;6;7;8;9;10,1,15;21;27;33;39;45,15;21;27;33;39;45
140,140R,<,1;2;3;4;5;6,10;9;8;7;6;11,1,18;24;30;36;42;48,18;24;30;36;42;48
146,146H,>,1;2;3;4;5;6,20;19;18;13;12;11,2,21;27;36;42;48;54,21;30;36;42;48;54
146,146R,<,1;2;3;4;5;6,11;12;13;18;19;20,2,39;45;51;57;3;9,39;45;51;57;3;9
149,149H,>,1;2;3;4;5;6,18;17;12;13;8;9,2,33;39;45;51;57;3,33;39;45;51;57;3
149,149R,<,1;2;3;4;5;6,9;8;13;12;17;18,2,36;42;48;54;0;6,36;42;48;54;0;6
153,153H,>,1;2;3;4;5;6,12;11;6;1;2;3,1,21;27;33;39;48;54,21;27;33;42;48;54
153,153R,<,1;2;3;4;5;6,3;2;1;6;11;12,1,12;18;24;30;36;42,12;18;24;30;36;42
