#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
6,6H,>,1;2;3;4;5;6;7;8,6;11;12;13;14;19;24;25,1,0;6;12;18;24;30;36;42,0;6;12;18;24;30;36;42
6,6R,<,1;2;3;4;5;6;7;8,25;24;19;14;13;12;11;6,1,0;6;12;18;24;30;36;42,0;6;12;18;24;30;36;42
19,19H,>,1;2;3;4;5;6;7,2;7;12;11;16;21;22,1,36;42;48;54;0;6;12,36;42;48;54;0;6;12
19,19R,<,1;2;3;4;5;6;7,22;21;16;11;12;7;2,1,36;42;48;54;0;6;12,36;42;48;54;0;6;12
44,44H,>,1;2;3;4;5;6,4;9;14;13;18;23,1,0;6;12;18;24;30,0;6;12;18;24;30
44,44R,<,1;2;3;4;5;6,23;18;13;14;9;4,1,30;36;42;48;54;0,30;36;42;48;54;0
60,60H,>,1;2;3;4;5;6,17;18;13;8;3;4,1,6;12;18;24;30;36,6;12;18;24;30;36
60,60R,<,1;2;3;4;5;6,4;3;8;13;18;17,1,36;42;48;54;0;6,36;42;48;54;0;6
62,62H,>,1;2;3;4;5;6,16;17;12;13;14;9,1,36;42;48;54;0;6,36;42;48;54;0;6
62,62R,<,1;2;3;4;5;6,9;14;13;12;17;16,1,6;12;18;24;30;36,6;12;18;24;30;36
78,78H,>,1;2;3;4;5,19;24;23;22;17,1,39;45;51;57;3,39;45;51;57;3
78,78R,<,1;2;3;4;5,17;22;23;24;19,1,9;15;21;27;33,9;15;21;27;33
80,80H,>,1;2;3;4;5,13;18;19;14;15,1,45;51;57;3;9,45;51;57;3;9
80,80R,<,1;2;3;4;5,15;14;19;18;13,1,15;21;27;33;39,15;21;27;33;39
90,90H,>,1;2;3;4;5,1;6;7;8;9,1,18;24;30;36;42,18;24;30;36;42
90,90R,<,1;2;3;4;5,9;8;7;6;1,1,48;54;0;6;12,48;54;0;6;12
100,100H,>,1;2;3;4;5,4;5;10;15;20,1,36;42;48;54;0,36;42;48;54;0
100,100R,<,1;2;3;4;5,20;15;10;5;4,1,6;12;18;24;30,6;12;18;24;30
114,114H,>,1;2;3;4,19;20;25;24,1,0;6;12;18,0;6;12;18
114,114R,<,1;2;3;4,24;25;20;19,1,30;36;42;48,30;36;42;48
127,127H,>,1;2;3;4;5;6;7;8;9,15;14;13;12;11;6;1;2;3,2,3;9;15;21;27;33;39;45;51,3;9;15;21;27;33;39;45;51
127,127R,<,1;2;3;4;5;6;7;8;9,3;2;1;6;11;12;13;14;15,2,3;9;15;21;27;33;39;45;51,3;9;15;21;27;33;39;45;51
130,130H,>,1;2;3;4;5;6,25;20;15;10;9;8,1,12;18;24;30;36;42,12;18;24;30;36;42
130,130R,<,1;2;3;4;5;6,8;9;10;15;20;25,1,42;48;54;0;6;12,42;48;54;0;6;12
137,137H,>,1;2;3;4;5;6,7;12;13;8;3;4,1,3;9;15;21;27;33,3;9;15;21;27;33
137,137R,<,1;2;3;4;5;6,4;3;8;13;12;7,1,33;39;45;51;57;3,33;39;45;51;57;3
145,145H,>,1;2;3;4;5;6,19;18;17;12;13;8,1,54;0;6;12;18;24,54;0;6;12;18;24
145,145R,<,1;2;3;4;5;6,8;13;12;17;18;19,1,24;30;36;42;48;54,24;30;36;42;48;54
164,164H,>,1;2;3;4;5,16;17;18;19;20,1,39;45;51;57;3,39;45;51;57;3
164,164R,<,1;2;3;4;5,20;19;18;17;16,1,9;15;21;27;33,9;15;21;27;33
