#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
3,3H,>,1;2;3;4;5;6;7;8;9;10;11,25;24;23;18;13;8;3;2;1;6;11,4,0;6;12;18;24;30;36;42;48;54;60,0;6;12;18;24;30;36;42;48;54;60
3,3R,<,1;2;3;4;5;6;7;8;9;10;11,11;6;1;2;3;8;13;18;23;24;25,4,49;55;1;7;13;19;25;31;37;43;49,49;55;1;7;13;19;25;31;37;43;49
7,7H,>,1;2;3;4;5;6;7;8;9;10;11,21;16;11;6;1;2;3;8;13;12;7,2,19;25;31;37;43;49;55;1;7;13;19,19;25;31;37;43;49;55;1;7;13;19
7,7R,<,1;2;3;4;5;6;7;8;9;10;11,7;12;13;8;3;2;1;6;11;16;21,2,45;51;57;3;9;15;21;27;33;39;45,45;51;57;3;9;15;21;27;33;39;45
9,9H,>,1;2;3;4;5;6;7;8;9,24;19;14;9;8;13;18;17;22,2,33;39;45;51;57;3;9;15;21,33;39;45;51;57;3;9;15;21
9,9R,<,1;2;3;4;5;6;7;8;9,22;17;18;13;8;9;14;19;24,2,58;4;10;16;22;28;34;40;46,58;4;10;16;22;28;34;40;46
10,10H,>,1;2;3;4;5;6;7;8,22;21;16;17;12;7;6;11,2,28;34;43;49;55;1;7;13,28;37;43;49;55;1;7;13
10,10R,<,1;2;3;4;5;6;7;8,11;6;7;12;17;16;21;22,2,36;42;48;54;0;6;12;18,36;42;48;54;0;6;12;18
12,12H,>,1;2;3;4;5;6;7;8,24;19;14;9;8;13;12;7,2,33;39;45;51;57;3;9;15,33;39;45;51;57;3;9;15
12,12R,<,1;2;3;4;5;6;7;8,7;12;13;8;9;14;19;24,2,34;40;46;52;58;4;10;18,34;40;46;52;58;4;10;18
13,13H,>,1;2;3;4;5;6,20;19;14;9;4;5,2,0;6;12;18;24;30,0;6;12;18;24;30
13,13R,<,1;2;3;4;5;6,5;4;9;14;19;20,2,54;0;6;12;18;24,54;0;6;12;18;24
14,14H,>,1;2;3;4;5;6,22;17;18;13;12;7,2,16;22;28;34;40;46,16;22;28;34;40;46
14,14R,<,1;2;3;4;5;6,7;12;13;18;17;22,2,55;1;7;13;19;25,55;1;7;13;19;25
18,18H,>,1;2;3;4;5,15;10;9;4;5,2,6;12;18;24;30,6;12;18;24;30
18,18R,<,1;2;3;4;5,5;4;9;10;15,2,49;55;1;7;13,49;55;1;7;13
27,27H,>,1;2,13;14,6,33;39,33;39
27,27R,<,1;2,14;13,6,15;21,15;21
28,28H,>,1;2,12;17,2,35;41,35;41
28,28R,<,1;2,17;12,2,33;39,33;39
