#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
1,1H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,5,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
1,1R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,5,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
2,2H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,3,0;6;12;18;24;30;36,0;6;12;18;24;30;36
2,2R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,3,0;6;12;18;24;30;36,0;6;12;18;24;30;36
3,3H,>,1;2;3;4;5,11;12;13;14;15,3,13;19;25;31;37,13;19;25;31;37
3,3R,<,1;2;3;4;5,15;14;13;12;11,3,43;49;55;1;7,43;49;55;1;7
4,4H,>,1;2;3;4;5;6;7,16;17;18;13;8;9;10,3,31;37;43;49;55;1;7,31;37;43;49;55;1;7
4,4R,<,1;2;3;4;5;6;7,10;9;8;13;18;17;16,3,31;37;43;49;55;1;7,31;37;43;49;55;1;7
5,5H,>,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,2,28;34;40;46;52;58;4;10;16,28;34;40;46;52;58;4;10;16
5,5R,<,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,2,28;34;40;46;52;58;4;10;16,28;34;40;46;52;58;4;10;16
