#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
98,98H,>,1;2;3;4;5;6,14;9;8;3;2;1,3,21;27;33;39;45;51,21;27;33;39;45;51
98,98R,<,1;2;3;4;5;6,1;2;3;8;9;14,3,0;6;12;18;24;30,0;6;12;18;24;30
128,128H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,3,57;3;9;15;21;27;33,57;3;9;15;21;27;33
128,128R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,3,3;9;15;21;27;33;39,3;9;15;21;27;33;39
129,129H,>,1;2;3;4;5,11;12;13;14;15,3,15;21;27;33;39,15;21;27;33;39
129,129R,<,1;2;3;4;5,15;14;13;12;11,3,15;21;27;33;39,15;21;27;33;39
130,130H,>,1;2;3;4;5;6;7,10;9;8;13;18;17;16,3,12;18;24;30;36;42;48,12;18;24;30;36;42;48
130,130R,<,1;2;3;4;5;6;7,16;17;18;13;8;9;10,3,26;32;38;44;50;56;2,26;32;38;44;50;56;2
131,131H,>,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,3,14;20;26;32;38;44;50;56;2,14;20;26;32;38;44;50;56;2
131,131R,<,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,3,20;26;32;38;44;50;56;2;8,20;26;32;38;44;50;56;2;8
132,132H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,3,20;26;32;38;44;50;56;2;8,20;26;32;38;44;50;56;2;8
132,132R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,3,14;20;26;32;38;44;50;56;2,14;20;26;32;38;44;50;56;2
