#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
23,23H,>,1;2;3;4;5;6,25;24;19;14;9;4,1,0;6;12;18;24;30,0;6;12;18;24;30
23,23R,<,1;2;3;4;5;6,4;9;14;19;24;25,1,30;36;42;48;54;0,30;36;42;48;54;0
27,27H,>,1;2;3;4;5;6,24;23;18;13;8;9,1,51;57;3;9;15;21,51;57;3;9;15;21
27,27R,<,1;2;3;4;5;6,9;8;13;18;23;24,1,21;27;33;39;45;51,21;27;33;39;45;51
32,32H,>,1;2;3;4;5;6,22;23;18;13;8;9,1,3;9;15;21;27;33,3;9;15;21;27;33
32,32R,<,1;2;3;4;5;6,9;8;13;18;23;22,1,33;39;45;51;57;3,33;39;45;51;57;3
49,49H,>,1;2;3;4;5;6,19;18;17;12;7;2,1,51;57;3;9;15;21,51;57;3;9;15;21
49,49R,<,1;2;3;4;5;6,2;7;12;17;18;19,1,21;27;33;39;45;51,21;27;33;39;45;51
51,51H,>,1;2;3;4;5;6,19;18;13;8;7;2,1,30;36;42;48;54;0,30;36;42;48;54;0
51,51R,<,1;2;3;4;5;6,2;7;8;13;18;19,1,0;6;12;18;24;30,0;6;12;18;24;30
57,57H,>,1;2;3;4;5;6,17;18;13;8;3;4,1,12;18;24;30;36;42,12;18;24;30;36;42
57,57R,<,1;2;3;4;5;6,4;3;8;13;18;17,1,42;48;54;0;6;12,42;48;54;0;6;12
80,80H,>,1;2;3;4;5;6,14;13;8;7;2;3,1,9;15;21;27;33;39,9;15;21;27;33;39
80,80R,<,1;2;3;4;5;6,3;2;7;8;13;14,1,39;45;51;57;3;9,39;45;51;57;3;9
83,83H,>,1;2;3;4;5;6,14;13;8;3;2;1,1,3;9;15;21;27;33,3;9;15;21;27;33
83,83R,<,1;2;3;4;5;6,1;2;3;8;13;14,1,33;39;45;51;57;3,33;39;45;51;57;3
90,90H,>,1;2;3;4;5;6,12;13;8;3;2;1,1,39;45;51;57;3;9,39;45;51;57;3;9
90,90R,<,1;2;3;4;5;6,1;2;3;8;13;12,1,9;15;21;27;33;39,9;15;21;27;33;39
126,126H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,1,42;48;54;0;6;12;18;24;30,42;48;54;0;6;12;18;24;30
126,126R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,1,54;0;6;12;18;24;30;36;42,54;0;6;12;18;24;30;36;42
128,128H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,1,45;51;57;3;9;15;21,45;51;57;3;9;15;21
128,128R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,1,9;15;21;27;33;39;45,9;15;21;27;33;39;45
129,129H,>,1;2;3;4;5,11;12;13;14;15,1,48;54;0;6;12,48;54;0;6;12
129,129R,<,1;2;3;4;5,15;14;13;12;11,1,24;30;36;42;48,24;30;36;42;48
130,130H,>,1;2;3;4;5;6;7,10;9;8;13;18;17;16,1,12;18;24;30;36;42;48,12;18;24;30;36;42;48
130,130R,<,1;2;3;4;5;6;7,16;17;18;13;8;9;10,1,36;42;48;54;0;6;12,36;42;48;54;0;6;12
131,131H,>,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,1,21;27;33;39;45;51;57;3;9,21;27;33;39;45;51;57;3;9
131,131R,<,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,1,33;39;45;51;57;3;9;15;21,33;39;45;51;57;3;9;15;21
132,132H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,1,21;27;33;39;45;51;57;3;9,21;27;33;39;45;51;57;3;9
132,132R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,1,33;39;45;51;57;3;9;15;21,33;39;45;51;57;3;9;15;21
