#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
126,126H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,5,51;57;3;9;15;21;27;33;39,51;57;3;9;15;21;27;33;39
126,126R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,5,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
128,128H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,5,15;21;27;33;39;45;51,15;21;27;33;39;45;51
128,128R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,5,9;15;21;27;33;39;45,9;15;21;27;33;39;45
129,129H,>,1;2;3;4;5,11;12;13;14;15,5,9;15;21;27;33,9;15;21;27;33
129,129R,<,1;2;3;4;5,15;14;13;12;11,5,36;42;48;54;0,36;42;48;54;0
130,130H,>,1;2;3;4;5;6;7,10;9;8;13;18;17;16,5,15;21;27;33;39;45;51,15;21;27;33;39;45;51
130,130R,<,1;2;3;4;5;6;7,16;17;18;13;8;9;10,5,6;12;18;24;30;36;42,6;12;18;24;30;36;42
131,131H,>,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,5,30;36;42;48;54;0;6;12;18,30;36;42;48;54;0;6;12;18
131,131R,<,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,5,18;24;30;36;42;48;54;0;6,18;24;30;36;42;48;54;0;6
