#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
2,2H,>,1;2;3;4;5;6;7;8;9;10;11,25;24;23;22;21;16;17;18;13;14;15,2,0;6;12;18;24;30;36;42;48;57;3,0;6;12;18;24;30;36;42;51;57;3
2,2R,<,1;2;3;4;5;6;7;8;9;10;11,15;14;13;18;17;16;21;22;23;24;25,2,8;14;22;29;35;41;47;53;59;5;11,8;14;23;29;35;41;47;53;59;5;11
3,3H,>,1;2;3;4;5;6;7;8;9;10;11,20;19;18;13;12;11;6;7;8;9;10,4,44;50;56;7;14;20;27;36;47;56;2,44;50;59;8;14;21;30;39;50;56;2
3,3R,<,1;2;3;4;5;6;7;8;9;10;11,10;9;8;7;6;11;12;13;18;19;20,4,44;50;56;2;8;14;20;26;32;38;44,44;50;56;2;8;14;20;26;32;38;44
5,5H,>,1;2;3;4;5;6;7,11;12;13;8;3;4;5,2,41;47;53;59;5;11;17,41;47;53;59;5;11;17
5,5R,<,1;2;3;4;5;6;7,5;4;3;8;13;12;11,2,56;2;8;14;20;26;32,56;2;8;14;20;26;32
8,8H,>,1;2;3;4;5;6,25;24;23;18;19;20,2,23;29;35;41;47;55,23;29;35;41;47;55
8,8R,<,1;2;3;4;5;6,20;19;18;23;24;25,2,8;14;20;26;32;38,8;14;20;26;32;38
9,9H,>,1;2;3;4;5;6,25;24;23;18;17;16,2,11;17;23;29;35;43,11;17;23;29;35;43
9,9R,<,1;2;3;4;5;6,16;17;18;23;24;25,2,53;59;5;11;17;23,53;59;5;11;17;23
10,10H,>,1;2;3;4;5;6,20;19;18;13;14;15,2,41;47;53;59;5;13,41;47;53;59;5;13
10,10R,<,1;2;3;4;5;6,15;14;13;18;19;20,2,6;12;18;24;30;36,6;12;18;24;30;36
19,19H,>,1;2;3;4;5,1;2;3;8;13,6,14;20;26;32;40,14;20;26;32;40
19,19R,<,1;2;3;4;5,13;8;3;2;1,6,21;27;33;39;45,21;27;33;39;45
24,24H,>,1;2,8;13,4,44;50,44;50
24,24R,<,1;2,13;8,4,42;48,42;48
