#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
1,1H,>,1;2;3;4;5;6;7;8;9,21;22;23;24;19;14;9;10;5,1,0;6;12;18;24;30;39;45;54,0;6;12;18;24;33;39;48;54
1,1R,<,1;2;3;4;5;6;7;8;9,5;10;9;14;19;24;23;22;21,1,18;24;30;36;42;48;54;0;6,18;24;30;36;42;48;54;0;6
2,2H,>,1;2;3;4;5;6;7;8;9,1;2;3;4;9;14;19;20;25,1,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
2,2R,<,1;2;3;4;5;6;7;8;9,25;20;19;14;9;4;3;2;1,1,45;51;57;3;9;15;21;27;33,45;51;57;3;9;15;21;27;33
4,4H,>,1;2;3;4;5;6;7;8,6;11;16;17;18;19;20;25,1,45;51;57;3;9;15;21;27,45;51;57;3;9;15;21;27
4,4R,<,1;2;3;4;5;6;7;8,25;20;19;18;17;16;11;6,1,51;57;3;9;15;24;30;36,51;57;3;9;18;24;30;36
23,23H,>,1;2;3;4;5;6,10;15;14;13;12;11,1,18;24;30;36;42;48,18;24;30;36;42;48
23,23R,<,1;2;3;4;5;6,11;12;13;14;15;10,1,12;18;24;30;39;45,12;18;24;33;39;45
25,25H,>,1;2;3;4;5;6,3;8;7;12;17;22,1,6;12;18;24;30;36,6;12;18;24;30;36
25,25R,<,1;2;3;4;5;6,22;17;12;7;8;3,1,9;15;24;30;36;42,9;18;24;30;36;42
34,34H,>,1;2;3;4;5;6,2;3;8;13;18;19,1,51;57;3;9;15;21,51;57;3;9;15;21
34,34R,<,1;2;3;4;5;6,19;18;13;8;3;2,1,3;9;15;21;27;33,3;9;15;21;27;33
37,37H,>,1;2;3;4;5,8;13;14;15;20,1,15;21;27;33;39,15;21;27;33;39
37,37R,<,1;2;3;4;5,20;15;14;13;8,1,30;36;42;48;54,30;36;42;48;54
57,57H,>,1;2;3;4;5;6;7,18;13;12;11;6;1;2,1,21;27;33;39;45;51;57,21;27;33;39;45;51;57
57,57R,<,1;2;3;4;5;6;7,2;1;6;11;12;13;18,1,30;36;42;48;54;0;6,30;36;42;48;54;0;6
72,72H,>,1;2;3;4;5;6,15;14;13;8;7;2,1,9;15;21;27;33;39,9;15;21;27;33;39
72,72R,<,1;2;3;4;5;6,2;7;8;13;14;15,1,9;15;21;27;33;39,9;15;21;27;33;39
99,99H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,2,42;48;54;0;6;12;18;24;30,42;48;54;0;6;12;18;24;30
99,99R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,2,39;45;51;57;3;9;15;21;27,39;45;51;57;3;9;15;21;27
100,100H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,1,39;45;51;57;3;9;15,39;45;51;57;3;9;15
100,100R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,1,57;3;9;15;21;27;33,57;3;9;15;21;27;33
102,102H,>,1;2;3;4;5;6;7,16;17;18;13;8;9;10,2,0;6;12;18;24;30;36,0;6;12;18;24;30;36
102,102R,<,1;2;3;4;5;6;7,10;9;8;13;18;17;16,2,6;12;18;24;30;36;42,6;12;18;24;30;36;42
103,103H,>,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,1,24;30;36;42;48;54;0;6;12,24;30;36;42;48;54;0;6;12
103,103R,<,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,1,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
