#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
17,17H,>,1;2;3;4;5,15;14;13;12;11,3,0;6;12;18;24,0;6;12;18;24
17,17R,<,1;2;3;4;5,11;12;13;14;15,3,0;6;12;18;24,0;6;12;18;24
19,19H,>,1;2;3;4;5,1;2;3;8;13,3,0;6;12;18;24,0;6;12;18;24
19,19R,<,1;2;3;4;5,13;8;3;2;1,3,26;32;38;46;52,26;32;40;46;52
29,29H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,3,22;28;34;40;46;52;58;4;10,22;28;34;40;46;52;58;4;10
29,29R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,3,26;32;38;44;50;56;2;8;14,26;32;38;44;50;56;2;8;14
30,30H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,3,57;3;9;15;21;27;33,57;3;9;15;21;27;33
30,30R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,3,20;26;32;38;46;52;58,20;26;32;38;46;52;58
32,32H,>,1;2;3;4;5;6;7,16;17;18;13;8;9;10,3,57;3;9;15;21;27;33,57;3;9;15;21;27;33
32,32R,<,1;2;3;4;5;6;7,10;9;8;13;18;17;16,3,31;37;43;49;55;1;7,31;37;43;49;55;1;7
33,33H,>,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,3,23;29;35;41;47;53;59;5;11,23;29;35;41;47;53;59;5;11
33,33R,<,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,3,45;51;57;3;9;15;21;27;33,45;51;57;3;9;15;21;27;33
