#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
23,23H,>,1;2;3;4;5;6,25;24;19;14;9;4,1,0;6;12;18;24;33,0;6;12;18;27;33
23,23R,<,1;2;3;4;5;6,4;9;14;19;24;25,1,45;51;57;3;9;15,45;51;57;3;9;15
36,36H,>,1;2;3;4;5;6,22;21;16;11;6;1,1,8;16;27;33;42;48,8;19;27;36;42;48
36,36R,<,1;2;3;4;5;6,1;6;11;16;21;22,1,39;45;51;57;3;9,39;45;51;57;3;9
46,46H,>,1;2;3;4;5;6,23;18;13;8;7;12,1,46;52;0;6;12;18,46;54;0;6;12;18
46,46R,<,1;2;3;4;5;6,12;7;8;13;18;23,1,3;9;15;21;27;33,3;9;15;21;27;33
58,58H,>,1;2;3;4;5;6,17;18;13;8;3;2,1,57;3;9;15;21;27,57;3;9;15;21;27
58,58R,<,1;2;3;4;5;6,2;3;8;13;18;17,1,39;45;51;57;3;9,39;45;51;57;3;9
61,61H,>,1;2;3;4;5;6,17;16;11;6;1;2,1,24;30;36;42;48;54,24;30;36;42;48;54
61,61R,<,1;2;3;4;5;6,2;1;6;11;16;17,1,15;21;27;33;39;45,15;21;27;33;39;45
62,62H,>,1;2;3;4;5;6,20;15;10;9;4;3,1,12;18;24;30;36;42,12;18;24;30;36;42
62,62R,<,1;2;3;4;5;6,3;4;9;10;15;20,1,32;38;44;50;56;2,32;38;44;50;56;2
73,73H,>,1;2;3;4;5;6,18;13;8;9;14;15,1,57;3;9;15;22;32,57;3;9;16;24;32
73,73R,<,1;2;3;4;5;6,15;14;9;8;13;18,1,15;21;30;36;42;48,15;24;30;36;42;48
78,78H,>,1;2;3;4;5;6,18;13;8;3;2;1,1,6;12;18;24;30;36,6;12;18;24;30;36
78,78R,<,1;2;3;4;5;6,1;2;3;8;13;18,1,51;57;3;9;15;21,51;57;3;9;15;21
83,83H,>,1;2;3;4;5;6,14;13;8;3;2;1,1,54;0;6;12;18;24,54;0;6;12;18;24
83,83R,<,1;2;3;4;5;6,1;2;3;8;13;14,1,35;41;47;53;59;5,35;41;47;53;59;5
104,104H,>,1;2;3;4;5;6,9;8;3;2;1;6,1,27;33;39;45;51;57,27;33;39;45;51;57
104,104R,<,1;2;3;4;5;6,6;1;2;3;8;9,1,45;51;57;3;9;15,45;51;57;3;9;15
105,105H,>,1;2;3;4;5;6,12;7;8;3;4;5,1,24;30;36;42;48;54,24;30;36;42;48;54
105,105R,<,1;2;3;4;5;6,5;4;3;8;7;12,1,30;36;42;48;54;0,30;36;42;48;54;0
117,117H,>,1;2;3;4;5;6,6;1;2;3;4;5,1,33;39;45;51;57;3,33;39;45;51;57;3
117,117R,<,1;2;3;4;5;6,5;4;3;2;1;6,1,33;39;45;51;57;3,33;39;45;51;57;3
126,126H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,2,6;12;18;24;30;36;42;48;54,6;12;18;24;30;36;42;48;54
126,126R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,2,3;9;15;21;27;33;39;45;51,3;9;15;21;27;33;39;45;51
131,131H,>,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,1,30;36;42;48;54;0;6;12;18,30;36;42;48;54;0;6;12;18
131,131R,<,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,1,54;0;6;12;18;24;30;36;42,54;0;6;12;18;24;30;36;42
137,137H,>,1;2;3;4;5;6;7;8;9,21;22;17;18;19;14;9;4;5,1,54;0;6;12;18;24;30;36;42,54;0;6;12;18;24;30;36;42
137,137R,<,1;2;3;4;5;6;7;8;9,5;4;9;14;19;18;17;22;21,1,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
140,140H,>,1;2;3;4;5;6;7;8;9,1;2;7;12;13;18;19;24;25,1,9;15;21;27;33;39;45;51;57,9;15;21;27;33;39;45;51;57
140,140R,<,1;2;3;4;5;6;7;8;9,25;24;19;18;13;12;7;2;1,1,6;12;18;24;30;36;42;48;54,6;12;18;24;30;36;42;48;54
142,142H,>,1;2;3;4;5;6;7;8,21;22;17;18;19;20;15;10,1,45;51;57;3;9;15;21;27,45;51;57;3;9;15;21;27
142,142R,<,1;2;3;4;5;6;7;8,10;15;20;19;18;17;22;21,1,57;3;9;15;21;27;33;39,57;3;9;15;21;27;33;39
143,143H,>,1;2;3;4;5;6;7;8,6;11;12;13;18;19;24;25,2,15;21;27;33;39;45;51;57,15;21;27;33;39;45;51;57
143,143R,<,1;2;3;4;5;6;7;8,25;24;19;18;13;12;11;6,2,9;15;24;30;36;42;48;54,9;18;24;30;36;42;48;54
148,148H,>,1;2;3;4;5;6;7;8,1;2;7;12;13;18;19;20,1,39;45;51;57;3;9;15;21,39;45;51;57;3;9;15;21
148,148R,<,1;2;3;4;5;6;7;8,20;19;18;13;12;7;2;1,1,9;15;21;27;33;39;45;51,9;15;21;27;33;39;45;51
149,149H,>,1;2;3;4;5;6;7,23;24;19;14;9;4;5,1,3;9;15;21;27;33;39,3;9;15;21;27;33;39
149,149R,<,1;2;3;4;5;6;7,5;4;9;14;19;24;23,1,35;42;51;57;3;9;15,35;45;51;57;3;9;15
152,152H,>,1;2;3;4;5;6;7,21;22;17;12;7;2;3,1,3;9;15;21;27;33;39,3;9;15;21;27;33;39
152,152R,<,1;2;3;4;5;6;7,3;2;7;12;17;22;21,1,42;48;54;0;6;12;18,42;48;54;0;6;12;18
153,153H,>,1;2;3;4;5;6;7,16;17;18;19;20;15;10,1,6;12;18;24;30;36;42,6;12;18;24;30;36;42
153,153R,<,1;2;3;4;5;6;7,10;15;20;19;18;17;16,1,21;27;33;39;45;51;57,21;27;33;39;45;51;57
156,156H,>,1;2;3;4;5;6;7,11;12;17;18;19;24;25,1,48;54;0;6;12;18;24,48;54;0;6;12;18;24
156,156R,<,1;2;3;4;5;6;7,25;24;19;18;17;12;11,1,15;21;27;33;39;45;51,15;21;27;33;39;45;51
158,158H,>,1;2;3;4;5;6;7,11;12;13;14;9;4;5,1,6;12;18;24;30;36;42,6;12;18;24;30;36;42
158,158R,<,1;2;3;4;5;6;7,5;4;9;14;13;12;11,1,3;9;15;21;27;33;39,3;9;15;21;27;33;39
161,161H,>,1;2;3;4;5;6;7,6;11;12;13;18;19;20,2,51;57;3;9;15;21;27,51;57;3;9;15;21;27
161,161R,<,1;2;3;4;5;6;7,20;19;18;13;12;11;6,2,12;18;24;30;36;42;48,12;18;24;30;36;42;48
177,177H,>,1;2;3;4;5;6;7,1;2;3;4;5;10;15,1,3;9;15;21;27;33;39,3;9;15;21;27;33;39
177,177R,<,1;2;3;4;5;6;7,15;10;5;4;3;2;1,1,21;27;33;39;45;51;57,21;27;33;39;45;51;57
178,178H,>,1;2;3;4;5;6,23;24;19;20;15;10,1,3;9;15;21;27;33,3;9;15;21;27;33
178,178R,<,1;2;3;4;5;6,10;15;20;19;24;23,1,54;0;6;12;18;24,54;0;6;12;18;24
180,180H,>,1;2;3;4;5;6,16;21;22;23;24;25,1,48;54;0;6;12;18,48;54;0;6;12;18
180,180R,<,1;2;3;4;5;6,25;24;23;22;21;16,1,3;9;15;21;27;33,3;9;15;21;27;33
182,182H,>,1;2;3;4;5;6,16;17;18;19;14;9,1,57;3;9;15;21;27,57;3;9;15;21;27
182,182R,<,1;2;3;4;5;6,9;14;19;18;17;16,1,15;21;27;33;39;45,15;21;27;33;39;45
