#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
1,1H,>,1;2;3;4;5;6;7;8;9,21;22;23;24;19;14;9;10;5,1,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
1,1R,<,1;2;3;4;5;6;7;8;9,5;10;9;14;19;24;23;22;21,1,0;6;12;18;24;30;36;42;48,0;6;12;18;24;30;36;42;48
2,2H,>,1;2;3;4;5;6;7;8;9,1;2;3;4;9;14;19;20;25,1,21;27;33;39;45;51;57;3;9,21;27;33;39;45;51;57;3;9
2,2R,<,1;2;3;4;5;6;7;8;9,25;20;19;14;9;4;3;2;1,1,21;27;33;39;45;51;57;3;9,21;27;33;39;45;51;57;3;9
4,4H,>,1;2;3;4;5;6;7;8,6;11;16;17;18;19;20;25,1,18;24;30;36;42;48;54;0,18;24;30;36;42;48;54;0
4,4R,<,1;2;3;4;5;6;7;8,25;20;19;18;17;16;11;6,1,18;24;30;36;42;48;54;0,18;24;30;36;42;48;54;0
12,12H,>,1;2;3;4;5;6;7,1;6;11;16;21;22;23,1,36;42;48;54;0;6;12,36;42;48;54;0;6;12
12,12R,<,1;2;3;4;5;6;7,23;22;21;16;11;6;1,1,36;42;48;54;0;6;12,36;42;48;54;0;6;12
18,18H,>,1;2;3;4;5;6;7,7;8;9;14;15;20;25,1,54;0;6;12;18;24;30,54;0;6;12;18;24;30
18,18R,<,1;2;3;4;5;6;7,25;20;15;14;9;8;7,1,54;0;6;12;18;24;30,54;0;6;12;18;24;30
21,21H,>,1;2;3;4;5;6;7,1;2;3;4;5;10;15,1,39;45;51;57;3;9;15,39;45;51;57;3;9;15
21,21R,<,1;2;3;4;5;6;7,15;10;5;4;3;2;1,1,39;45;51;57;3;9;15,39;45;51;57;3;9;15
26,26H,>,1;2;3;4;5;6,12;17;22;23;24;25,1,36;42;48;54;0;6,36;42;48;54;0;6
26,26R,<,1;2;3;4;5;6,25;24;23;22;17;12,1,6;12;18;24;30;36,6;12;18;24;30;36
29,29H,>,1;2;3;4;5;6,6;11;12;13;14;15,1,57;3;9;15;21;27,57;3;9;15;21;27
29,29R,<,1;2;3;4;5;6,15;14;13;12;11;6,1,27;33;39;45;51;57,27;33;39;45;51;57
34,34H,>,1;2;3;4;5;6,2;3;8;13;18;19,1,0;6;12;18;24;30,0;6;12;18;24;30
34,34R,<,1;2;3;4;5;6,19;18;13;8;3;2,1,30;36;42;48;54;0,30;36;42;48;54;0
49,49H,>,1;2;3;4;5,1;2;7;12;17,1,15;21;27;33;39,15;21;27;33;39
49,49R,<,1;2;3;4;5,17;12;7;2;1,1,45;51;57;3;9,45;51;57;3;9
71,71H,>,1;2;3;4;5;6,19;18;17;12;13;14,1,15;21;27;33;39;45,15;21;27;33;39;45
71,71R,<,1;2;3;4;5;6,14;13;12;17;18;19,1,45;51;57;3;9;15,45;51;57;3;9;15
72,72H,>,1;2;3;4;5;6,15;14;13;8;7;2,1,54;0;6;12;18;24,54;0;6;12;18;24
72,72R,<,1;2;3;4;5;6,2;7;8;13;14;15,1,24;30;36;42;48;54,24;30;36;42;48;54
78,78H,>,1;2;3;4;5;6,11;12;13;8;9;10,1,27;33;39;45;51;57,27;33;39;45;51;57
78,78R,<,1;2;3;4;5;6,10;9;8;13;12;11,1,57;3;9;15;21;27,57;3;9;15;21;27
96,96H,>,1;2;3;4;5,3;8;13;18;23,2,0;6;12;18;24,0;6;12;18;24
96,96R,<,1;2;3;4;5,23;18;13;8;3,2,30;36;42;48;54,30;36;42;48;54
99,99H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,1,39;45;51;57;3;9;15;21;27,39;45;51;57;3;9;15;21;27
99,99R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,1,39;45;51;57;3;9;15;21;27,39;45;51;57;3;9;15;21;27
100,100H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,1,3;9;15;21;27;33;39,3;9;15;21;27;33;39
100,100R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,1,3;9;15;21;27;33;39,3;9;15;21;27;33;39
102,102H,>,1;2;3;4;5;6;7,16;17;18;13;8;9;10,1,57;3;9;15;21;27;33,57;3;9;15;21;27;33
102,102R,<,1;2;3;4;5;6;7,10;9;8;13;18;17;16,1,57;3;9;15;21;27;33,57;3;9;15;21;27;33
103,103H,>,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,1,48;54;0;6;12;18;24;30;36,48;54;0;6;12;18;24;30;36
103,103R,<,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,1,48;54;0;6;12;18;24;30;36,48;54;0;6;12;18;24;30;36
