#line-id,line-code,direction,stop-order,stop-id,frequency,arrival_time,departure_time
4,4H,>,1;2;3;4;5;6;7,18;13;12;11;6;1;2,1,0;6;12;18;24;30;36,0;6;12;18;24;30;36
4,4R,<,1;2;3;4;5;6;7,2;1;6;11;12;13;18,1,24;30;36;42;48;54;0,24;30;36;42;48;54;0
6,6H,>,1;2;3;4;5;6;7,25;24;19;14;9;4;3,1,18;24;30;36;42;48;54,18;24;30;36;42;48;54
6,6R,<,1;2;3;4;5;6;7,3;4;9;14;19;24;25,1,42;48;54;0;6;12;18,42;48;54;0;6;12;18
12,12H,>,1;2;3;4;5;6,7;12;13;8;3;2,1,54;0;6;12;18;24,54;0;6;12;18;24
12,12R,<,1;2;3;4;5;6,2;3;8;13;12;7,1,48;54;0;6;12;18,48;54;0;6;12;18
13,13H,>,1;2;3;4;5;6,24;23;18;17;12;7,1,48;54;0;6;12;18,48;54;0;6;12;18
13,13R,<,1;2;3;4;5;6,7;12;17;18;23;24,1,42;48;54;0;6;12,42;48;54;0;6;12
16,16H,>,1;2;3;4;5;6,23;22;21;16;11;12,1,54;0;6;12;18;24,54;0;6;12;18;24
16,16R,<,1;2;3;4;5;6,12;11;16;21;22;23,1,12;18;24;30;36;42,12;18;24;30;36;42
23,23H,>,1;2;3;4;5;6,18;19;14;9;10;15,1,0;6;12;18;24;30,0;6;12;18;24;30
23,23R,<,1;2;3;4;5;6,15;10;9;14;19;18,1,30;36;42;48;54;0,30;36;42;48;54;0
27,27H,>,1;2;3;4;5;6,18;17;12;13;8;9,1,46;52;3;12;18;24,46;55;6;12;18;24
27,27R,<,1;2;3;4;5;6,9;8;13;12;17;18,1,54;0;6;12;18;26,54;0;6;12;18;26
30,30H,>,1;2;3;4;5;6,14;13;8;3;2;1,1,24;30;36;42;48;54,24;30;36;42;48;54
30,30R,<,1;2;3;4;5;6,1;2;3;8;13;14,1,0;6;12;18;24;30,0;6;12;18;24;30
42,42H,>,1;2;3;4;5;6;7;8;9,1;2;3;8;13;18;23;24;25,2,30;36;42;48;54;0;6;12;18,30;36;42;48;54;0;6;12;18
42,42R,<,1;2;3;4;5;6;7;8;9,25;24;23;18;13;8;3;2;1,2,42;48;54;0;6;12;18;24;30,42;48;54;0;6;12;18;24;30
43,43H,>,1;2;3;4;5;6;7;8;9,21;22;23;18;13;8;3;4;5,1,42;48;54;0;6;12;18;24;30,42;48;54;0;6;12;18;24;30
43,43R,<,1;2;3;4;5;6;7;8;9,5;4;3;8;13;18;23;22;21,1,30;36;42;48;54;0;6;12;18,30;36;42;48;54;0;6;12;18
44,44H,>,1;2;3;4;5;6;7,6;7;8;13;18;19;20,2,36;42;48;54;0;6;12,36;42;48;54;0;6;12
44,44R,<,1;2;3;4;5;6;7,20;19;18;13;8;7;6,2,48;54;0;6;12;18;24,48;54;0;6;12;18;24
45,45H,>,1;2;3;4;5;6;7,16;17;18;13;8;9;10,1,48;54;0;6;12;18;24,48;54;0;6;12;18;24
45,45R,<,1;2;3;4;5;6;7,10;9;8;13;18;17;16,1,6;12;18;24;30;36;42,6;12;18;24;30;36;42
46,46H,>,1;2;3;4;5,11;12;13;14;15,1,54;0;6;12;18,54;0;6;12;18
46,46R,<,1;2;3;4;5,15;14;13;12;11,1,54;0;6;12;18,54;0;6;12;18
